recorded_at,value_usd,twenty_four_hour_trading_volume_usd,SMA_100,SMA_200,EMA_50,EMA_100,VWAP,OBV,RSI,EMA_12,EMA_26,MACD,MACD_Signal,Bollinger_Mid,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,High_Low,High_Close,Low_Close,True_Range,ATR,Money_Flow_Multiplier,Money_Flow_Volume,CMF,Lowest_Low,Highest_High,%K,%D
2024-05-13 00:00:00+00:00,61720.93646134093,13045696108.912676,,,62675.884285807195,62757.84122855512,62559.14580865801,-34828929412.79059,50.0,62216.1556767718,62528.3297962515,-312.1741194796996,-123.76296269990758,,,,,0.0,663.5221837192439,663.5221837192439,663.5221837192439,,,,,,,,
2024-05-14 00:00:00+00:00,61984.983436874674,27740460083.601814,,,62648.790134868665,62742.53711386837,62498.20304333584,-7088469329.188774,50.0,62180.59071678763,62488.08191777914,-307.4912009915133,-160.50861035822874,,,,,0.0,264.0469755337472,264.0469755337472,264.0469755337472,,,,,,,,
2024-05-15 00:00:00+00:00,63556.13820694366,21581895152.31416,,,62684.37241220494,62758.64802660253,62578.9011379584,14493425823.125385,50.0,62392.213407580864,62567.197198457994,-174.98379087712965,-163.4036464620089,,,,,0.0,1571.1547700689844,1571.1547700689844,1571.1547700689844,,,,,,,,
2024-05-16 00:00:00+00:00,64350.170374482615,38101793065.15294,,,62749.697822490336,62790.163320619955,62789.12226133423,52595218888.27832,61.22242817145714,62693.437556334975,62699.269285570925,-5.8317292359497515,-131.8892630167971,,,,,0.0,794.0321675389569,794.0321675389569,794.0321675389569,480.8068321840744,,,,61057.41427762168,64350.170374482615,100.0,
2024-05-17 00:00:00+00:00,66178.1737942567,29114585833.349678,,,62884.14786059882,62857.25263692959,63070.917738425414,81709804721.62799,69.50412662953002,63229.55082370755,62956.965915843946,272.584907863602,-50.994428840717276,,,,,0.0,1828.0034197740824,1828.0034197740824,1828.0034197740824,611.3785050250802,,,,61057.41427762168,66178.1737942567,100.0,
2024-05-18 00:00:00+00:00,66408.8738941596,25397793918.993534,,,63022.37241093454,62927.58177073612,63296.658928795936,107107598640.62152,68.5493011833178,63718.67744993094,63212.66280312659,506.0146468043531,60.407386288296806,,,,,0.0,230.7000999028969,230.7000999028969,230.7000999028969,592.8173990456006,,,,61057.41427762168,66408.8738941596,100.0,100.0
2024-05-19 00:00:00+00:00,66739.48482501625,13025487675.845129,,,63168.14152521225,63003.064999533744,63412.06682954197,120133086316.46664,68.93818679920983,64183.41704609791,63473.90887882211,709.5081672757951,190.2275424857965,,,,,0.0,330.610930856652,330.610930856652,330.610930856652,600.2393147544202,,,,61057.41427762168,66739.48482501625,100.0,100.0
2024-05-20 00:00:00+00:00,68198.54273736819,9072734600.009218,,,63365.412160983076,63105.94574681759,63521.275440833626,129205820916.47586,73.23211722700078,64801.12869090872,63823.881757232935,977.2469336757858,347.6314207237944,,,,,0.0,1459.057912351942,1459.057912351942,1459.057912351942,696.5258189743284,,,,61057.41427762168,68198.54273736819,100.0,100.0
2024-05-21 00:00:00+00:00,69290.94847192259,35923476641.4359,,,63597.7861339611,63228.421048304815,63999.32214625782,165129297557.91174,79.48985195468173,65491.87019568009,64228.84966202476,1263.0205336553263,530.7092433101009,,,,,0.0,1092.4057345543988,1092.4057345543988,1092.4057345543988,739.8549259375862,,,,61057.41427762168,69290.94847192259,100.0,100.0
2024-05-22 00:00:00+00:00,70267.11122554308,41105056578.01701,,,63859.328294415296,63367.80105181449,64542.08885852057,206234354135.92877,88.53238842796827,66226.52266181285,64676.12829635946,1550.3943654533941,734.6462677387595,64208.81079458581,2714.787628292998,69638.38605117181,58779.23553799981,0.0,976.1627536204905,976.1627536204905,976.1627536204905,743.0450120695974,,,,61057.41427762168,70267.11122554308,100.0,100.0
2024-05-23 00:00:00+00:00,69092.50067241296,31059440495.91766,,,64064.55074061129,63481.16144034119,64821.550202912105,175174913640.0111,79.60475268948875,66667.44235575134,65003.26699088194,1664.1753648693993,920.5520871648876,64521.46879142176,2902.3696633214245,70326.2081180646,58716.72946477891,0.0,1174.6105531301146,1174.6105531301146,1174.6105531301146,826.377162235644,,,,61057.41427762168,70267.11122554308,87.24593697520936,95.74864565840312
2024-05-24 00:00:00+00:00,68542.52755502287,39235702119.25446,,,64240.157674509785,63581.386511919045,65089.445872788725,135939211520.75665,79.2052129306655,66955.9170017931,65265.43444007756,1690.4825617155439,1074.538182075019,64782.100353207425,3021.3428174699015,70824.78598814722,58739.414718267624,0.0,549.9731173900946,549.9731173900946,549.9731173900946,830.5457077123881,,,,61057.41427762168,70267.11122554308,81.27426254878623,89.5067331746652
2024-05-25 00:00:00+00:00,68571.60913267623,28127411967.182774,,,64410.01851600651,63680.20280143899,65260.34911353989,164066623487.93942,80.2636120804423,67204.48502192897,65510.33626915894,1694.1487527700228,1198.4602962140198,65032.850788329124,3120.751824962022,71274.35443825317,58791.34713840508,0.0,29.081577653356362,29.081577653356362,29.081577653356362,822.1817268395373,,,,61057.41427762168,70267.11122554308,81.59003382571103,83.37007778323554
